full									0.01	0.02	0.05	0.09	0.1	0.1	0.2	0.25	0.34	0.36	0.51	0.52	0.67	0.61	0.75
cup	0	0	0.01	0.03	0.04	0.05	0.1	0.17	0.24	0.3	0.46	0.57	0.6	0.64	0.77	0.79	0.8	0.88	0.91	0.91	0.95	0.91	0.97
sidewalk									0.01	0.01	0.04	0.09	0.09	0.09	0.18	0.24	0.3	0.36	0.41	0.48	0.62	0.57	0.69
hers									0	0.01	0	0.01	0.03	0.02	0.07	0.08	0.1	0.16	0.22	0.21	0.34	0.34	0.41
bad	0	0	0.01	0.03	0.03	0.02	0.06	0.05	0.07	0.07	0.13	0.16	0.21	0.29	0.33	0.42	0.5	0.57	0.67	0.58	0.76	0.69	0.83
snow	0	0	0	0	0	0	0.01	0.01	0.05	0.09	0.15	0.19	0.24	0.3	0.44	0.49	0.49	0.52	0.6	0.67	0.71	0.69	0.8
kitty	0.01	0.03	0.06	0.12	0.16	0.22	0.25	0.36	0.45	0.38	0.6	0.64	0.61	0.69	0.76	0.79	0.79	0.84	0.88	0.84	0.94	0.89	0.94
home	0	0	0	0	0	0.01	0.02	0.12	0.11	0.18	0.31	0.41	0.43	0.48	0.6	0.67	0.72	0.81	0.84	0.85	0.91	0.83	0.93
came									0	0.01	0.01	0.01	0.02	0.01	0.02	0.06	0.06	0.12	0.15	0.14	0.3	0.2	0.32
gum									0.01	0.04	0.08	0.15	0.13	0.16	0.31	0.3	0.34	0.44	0.56	0.54	0.61	0.63	0.69
stand									0.01	0.02	0.06	0.08	0.13	0.2	0.28	0.35	0.37	0.44	0.58	0.54	0.71	0.67	0.77
wait									0.01	0.03	0.07	0.1	0.14	0.18	0.27	0.34	0.37	0.44	0.51	0.55	0.72	0.65	0.77
washing machine									0.01	0.05	0.08	0.1	0.12	0.22	0.28	0.37	0.32	0.4	0.42	0.53	0.6	0.64	0.71
potty	0	0	0	0.01	0.01	0	0.03	0.07	0.11	0.2	0.34	0.47	0.49	0.54	0.65	0.7	0.77	0.8	0.84	0.84	0.93	0.88	0.94
hamburger									0.02	0.05	0.11	0.17	0.2	0.28	0.36	0.44	0.47	0.6	0.7	0.72	0.78	0.77	0.83
where mommy go / where did mommy go									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
her	0	0	0	0	0	0	0	0.01	0	0	0	0.04	0.03	0.05	0.1	0.16	0.16	0.21	0.32	0.35	0.44	0.45	0.56
mouses									0	0.01	0.01	0.01	0.01	0	0.03	0.04	0.03	0.07	0.08	0.09	0.12	0.04	0.15
I fall down / I fell down									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wash	0	0	0	0	0.01	0	0.02	0.04	0.05	0.06	0.15	0.22	0.29	0.33	0.47	0.52	0.6	0.66	0.69	0.65	0.88	0.73	0.89
penis*									0.07	0.08	0.16	0.18	0.22	0.28	0.29	0.43	0.42	0.42	0.48	0.52	0.64	0.51	0.55
snowsuit									0	0.01	0.02	0.02	0.02	0.05	0.08	0.09	0.09	0.14	0.18	0.18	0.26	0.2	0.26
gonna/going to									0.01	0.02	0.04	0.08	0.08	0.09	0.17	0.25	0.29	0.3	0.45	0.45	0.62	0.58	0.69
spaghetti	0	0	0	0.01	0.01	0	0	0.1	0.05	0.08	0.15	0.18	0.23	0.28	0.34	0.46	0.55	0.57	0.69	0.68	0.83	0.75	0.88
garage	0	0	0	0.01	0	0	0	0.02	0.01	0.01	0.05	0.1	0.12	0.18	0.26	0.29	0.38	0.43	0.51	0.55	0.7	0.6	0.74
getted									0	0	0	0	0	0.01	0.02	0	0.01	0.02	0.02	0.03	0.04	0.02	0.04
room									0.03	0.04	0.1	0.18	0.17	0.27	0.35	0.45	0.51	0.58	0.66	0.65	0.83	0.75	0.86
drink (beverage)	0	0	0.01	0.02	0.02	0.05	0.1	0.15	0.18	0.21	0.33	0.41	0.46	0.56	0.65	0.71	0.72	0.74	0.82	0.81	0.92	0.86	0.94
ladder									0.01	0	0.06	0.08	0.09	0.17	0.17	0.32	0.31	0.39	0.48	0.52	0.65	0.55	0.67
shirt	0	0	0	0.01	0	0.01	0.04	0.1	0.09	0.16	0.3	0.37	0.42	0.48	0.65	0.69	0.72	0.75	0.81	0.84	0.93	0.86	0.96
bread	0	0	0	0.01	0.02	0.03	0.11	0.1	0.15	0.14	0.3	0.38	0.41	0.49	0.59	0.64	0.7	0.78	0.79	0.84	0.93	0.9	0.94
pig	0	0	0	0.01	0.02	0.03	0.04	0.16	0.17	0.21	0.37	0.49	0.48	0.5	0.65	0.74	0.77	0.82	0.82	0.8	0.95	0.92	0.95
did/did ya									0.02	0.02	0.04	0.06	0.09	0.06	0.19	0.2	0.24	0.29	0.44	0.51	0.58	0.49	0.68
woof woof	0.07	0.02	0.05	0.17	0.2	0.32	0.45	0.44	0.6	0.63	0.72	0.75	0.74	0.75	0.81	0.85	0.88	0.87	0.9	0.88	0.96	0.91	0.94
dish	0	0	0	0	0	0	0.01	0.06	0.03	0.03	0.1	0.13	0.16	0.19	0.27	0.31	0.32	0.41	0.42	0.53	0.67	0.55	0.67
toe	0	0	0	0.01	0.01	0.02	0.12	0.2	0.18	0.28	0.38	0.47	0.47	0.54	0.61	0.69	0.73	0.74	0.83	0.82	0.92	0.86	0.94
like									0.01	0.01	0.05	0.1	0.12	0.14	0.28	0.34	0.41	0.47	0.58	0.64	0.76	0.7	0.86
salt									0.01	0.01	0.03	0.06	0.09	0.11	0.2	0.17	0.26	0.3	0.35	0.43	0.56	0.5	0.61
street									0.02	0.02	0.07	0.14	0.13	0.21	0.29	0.36	0.43	0.51	0.59	0.58	0.78	0.73	0.85
all gone	0.01	0.01	0.01	0.04	0.06	0.1	0.12	0.24	0.32	0.36	0.49	0.6	0.65	0.63	0.72	0.8	0.82	0.8	0.87	0.84	0.94	0.87	0.93
grass									0.06	0.1	0.19	0.27	0.26	0.37	0.47	0.53	0.59	0.71	0.73	0.71	0.87	0.77	0.92
made									0	0	0.01	0.02	0.03	0.02	0.06	0.1	0.14	0.18	0.32	0.32	0.54	0.33	0.54
shh/shush/hush	0	0.01	0.01	0.03	0.1	0.09	0.2	0.2	0.31	0.47	0.5	0.57	0.62	0.7	0.67	0.77	0.81	0.83	0.89	0.81	0.93	0.89	0.94
out	0	0	0	0.01	0.02	0.03	0.05	0.15	0.18	0.2	0.34	0.35	0.41	0.43	0.61	0.62	0.65	0.68	0.8	0.75	0.86	0.8	0.88
rain	0	0	0.01	0	0	0	0.02	0.07	0.07	0.12	0.25	0.34	0.39	0.41	0.55	0.67	0.7	0.77	0.75	0.87	0.93	0.86	0.96
circus									0	0	0.01	0.01	0.03	0.04	0.09	0.1	0.14	0.18	0.25	0.25	0.37	0.35	0.43
morning	0	0	0	0	0	0	0.01	0.02	0.01	0.03	0.09	0.1	0.14	0.17	0.23	0.3	0.34	0.4	0.49	0.49	0.66	0.64	0.76
dinner	0	0	0	0	0	0.01	0.02	0.03	0.05	0.05	0.13	0.17	0.23	0.32	0.42	0.47	0.53	0.59	0.64	0.67	0.82	0.76	0.86
me	0	0	0	0.03	0.02	0.03	0.08	0.13	0.18	0.21	0.29	0.36	0.41	0.42	0.57	0.59	0.68	0.71	0.74	0.78	0.88	0.82	0.92
buyed									0	0	0.01	0.01	0	0	0.02	0.02	0.03	0.05	0.07	0.1	0.11	0.11	0.18
candy	0	0	0	0.01	0.01	0.01	0.02	0.09	0.07	0.12	0.23	0.33	0.35	0.41	0.5	0.59	0.66	0.75	0.81	0.79	0.92	0.87	0.93
sit									0.11	0.16	0.29	0.38	0.39	0.47	0.59	0.69	0.7	0.75	0.75	0.78	0.91	0.8	0.92
gentle	0	0	0	0	0.01	0.01	0.02	0.01	0.04	0.07	0.11	0.11	0.13	0.14	0.23	0.29	0.33	0.4	0.39	0.39	0.54	0.48	0.62
stairs	0	0	0	0.01	0	0.01	0.02	0.08	0.05	0.06	0.13	0.21	0.19	0.22	0.4	0.38	0.47	0.55	0.64	0.58	0.83	0.66	0.79
vroom	0.05	0.04	0.06	0.08	0.16	0.26	0.34	0.46	0.49	0.46	0.6	0.62	0.57	0.67	0.69	0.72	0.76	0.73	0.72	0.71	0.87	0.73	0.81
will									0.01	0.01	0.01	0.03	0.03	0.02	0.07	0.1	0.11	0.17	0.22	0.27	0.38	0.37	0.5
buy									0.01	0.01	0.04	0.05	0.09	0.1	0.19	0.22	0.29	0.35	0.45	0.49	0.63	0.64	0.73
do									0.05	0.07	0.13	0.19	0.26	0.28	0.4	0.48	0.49	0.54	0.64	0.73	0.79	0.72	0.81
pretend									0	0	0.01	0.02	0.03	0.02	0.06	0.12	0.14	0.16	0.25	0.24	0.42	0.4	0.5
of									0.01	0	0.01	0.03	0.01	0.02	0.04	0.09	0.08	0.14	0.17	0.21	0.29	0.3	0.37
bringed									0	0	0	0	0.01	0	0.01	0.02	0.03	0.04	0.07	0.08	0.11	0.07	0.14
oven	0	0	0	0	0	0	0	0.05	0.01	0.02	0.05	0.13	0.12	0.2	0.26	0.29	0.36	0.4	0.49	0.51	0.66	0.63	0.75
baby want eat / baby want to eat									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
does your child understand if you ask for something that is not in the room?									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm	0	0	0	0.01	0	0.01	0.02	0.07	0.08	0.18	0.24	0.36	0.38	0.51	0.57	0.7	0.72	0.76	0.81	0.81	0.93	0.89	0.96
baby crying / baby is crying									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
need/need to									0.01	0.02	0.03	0.07	0.05	0.08	0.16	0.23	0.26	0.3	0.42	0.44	0.58	0.58	0.66
smile	0	0	0	0.02	0	0	0	0.04	0.01	0.02	0.05	0.1	0.11	0.16	0.23	0.3	0.35	0.45	0.45	0.5	0.67	0.65	0.73
police									0.01	0	0.03	0.02	0.04	0.06	0.12	0.17	0.22	0.28	0.39	0.42	0.52	0.48	0.65
hand	0	0	0	0.01	0.01	0.02	0.04	0.14	0.11	0.15	0.29	0.39	0.49	0.57	0.66	0.77	0.74	0.81	0.85	0.89	0.95	0.93	0.95
coat	0	0	0	0.01	0.01	0.01	0.01	0.12	0.09	0.16	0.25	0.36	0.39	0.44	0.57	0.69	0.66	0.68	0.71	0.78	0.82	0.81	0.9
hose									0.03	0.01	0.07	0.1	0.09	0.15	0.22	0.26	0.32	0.4	0.47	0.54	0.67	0.55	0.67
behind									0.01	0.01	0.02	0.03	0.05	0.06	0.09	0.17	0.2	0.26	0.36	0.36	0.49	0.46	0.6
poor									0	0	0.01	0.01	0.02	0.04	0.03	0.07	0.08	0.12	0.14	0.14	0.27	0.23	0.27
that	0	0.01	0.01	0.01	0.05	0.11	0.14	0.24	0.21	0.19	0.2	0.3	0.29	0.32	0.47	0.48	0.52	0.56	0.65	0.68	0.79	0.75	0.83
play pen	0	0	0	0.01	0	0	0	0.03	0.01	0	0.02	0.04	0.04	0.04	0.09	0.09	0.1	0.12	0.2	0.21	0.32	0.24	0.32
grrr	0.1	0.11	0.2	0.13	0.21	0.28	0.38	0.38	0.54	0.57	0.63	0.66	0.66	0.64	0.75	0.79	0.83	0.79	0.86	0.81	0.94	0.83	0.89
penguin	0	0	0	0	0	0	0	0.03	0.02	0.03	0.09	0.13	0.15	0.25	0.27	0.35	0.37	0.4	0.44	0.45	0.67	0.6	0.69
better									0.01	0.03	0.06	0.09	0.1	0.15	0.22	0.25	0.31	0.39	0.52	0.52	0.65	0.58	0.75
put	0	0	0	0	0	0	0	0.03	0.01	0.02	0.05	0.09	0.14	0.14	0.21	0.29	0.35	0.43	0.55	0.48	0.68	0.63	0.73
shoe	0	0	0.01	0.06	0.11	0.13	0.25	0.38	0.51	0.6	0.76	0.83	0.87	0.81	0.92	0.95	0.93	0.94	0.96	0.97	0.98	0.97	0.98
shower									0.05	0.08	0.17	0.24	0.28	0.33	0.45	0.48	0.55	0.61	0.72	0.72	0.83	0.77	0.84
mailman									0.01	0.01	0.04	0.07	0.07	0.12	0.16	0.2	0.23	0.3	0.42	0.46	0.53	0.47	0.64
couch	0	0	0	0	0	0.01	0.02	0.06	0.03	0.05	0.14	0.19	0.23	0.32	0.38	0.47	0.51	0.58	0.65	0.7	0.84	0.75	0.85
milk	0	0	0.01	0.04	0.04	0.09	0.12	0.26	0.34	0.43	0.57	0.72	0.67	0.72	0.79	0.88	0.86	0.87	0.93	0.93	0.97	0.96	0.97
flag									0.03	0.04	0.1	0.16	0.14	0.22	0.26	0.31	0.39	0.49	0.54	0.47	0.71	0.58	0.76
fix									0.01	0.02	0.09	0.13	0.18	0.21	0.33	0.44	0.48	0.56	0.66	0.66	0.83	0.71	0.85
sun	0	0	0	0	0	0	0.02	0.06	0.06	0.1	0.19	0.32	0.32	0.42	0.47	0.55	0.64	0.72	0.72	0.77	0.89	0.83	0.93
long									0	0	0.01	0.03	0.03	0.03	0.08	0.13	0.15	0.21	0.27	0.3	0.45	0.42	0.56
bubbles	0	0	0.01	0.04	0.05	0.08	0.14	0.27	0.36	0.38	0.58	0.63	0.67	0.65	0.79	0.85	0.86	0.89	0.91	0.92	0.97	0.92	0.98
bus	0	0	0	0.01	0.01	0.02	0.06	0.1	0.16	0.2	0.32	0.47	0.46	0.55	0.72	0.77	0.75	0.8	0.82	0.87	0.92	0.9	0.96
tights									0.01	0.01	0.03	0.02	0.06	0.06	0.14	0.11	0.17	0.2	0.31	0.23	0.33	0.33	0.43
night	0	0	0.01	0	0	0.01	0.02	0.05	0.07	0.08	0.17	0.23	0.24	0.31	0.45	0.47	0.51	0.59	0.61	0.61	0.78	0.73	0.84
